Country, Publication_Date,Title,URL
MENA, 2021-05-03, "WHO estimates that the final decision on the assessment of Sputnik V will be announced around June or July", "https://www.almanarcomlb/8164774"
MENA, 2021-05-03, "COVID-19 Chinese vaccines to enter COVAX benefiting more countries", "https://news.cgtn.com/news/2021-05-03/COVID-19-Chinese-vaccines-to-enter-COVAX-benefiting-more-countries-ZVR30wIoYU/index.html"
MENA, 2021-05-03, "WHO gives emergency use authorization to Moderna COVID-19 vaccine", "https://www.jagranjosh.com/current-affairs/who-gives-emergency-use-authorization-to-modern"
MENA, 2021-04-08, "Why equality can't wait", "https://www.pivotalventures.org/equality-cant-wait#:~:text=As%20Melinda%20Gates%20writes%2C%20208equality%20happen%20in%20our%20lifetimes"
MENA, 2021-05-31, "The Seventy-fourth World Health Assembly closes", "https://www.who.int/news/item/31-05-2021-the-seventy-fourth-world-health-assembly-closes"
MENA, 2021-05-31, "Time has come’ for pandemic treaty as part of bold reforms WHO’s Tedros", "https://www.reuters.com/world/china/who-agrees-study-major-reforms-meet-again-pandemic-treaty-2021-05-31/"
MENA, 2021-05-27, "GAVI seek 190 mln COVID-19 vaccine doses by end-June to fill gap", "https://www.reuters.com/business/healthcare-pharmaceuticals/who-gavi-seek-190-mln-covid-19-vaccine-doses-by-end-june-fill-gap-2021-05-27/"
MENA, 2021-05-27, "Tatement: Call to action to equip COVAX to deliver 2 billion doses in 2021", "https://www.who.int/news/item/27-05-2021-covax-joint-statement-call-to-action-to-equip-covax-to-deliver-2-billion-doses-in-2021"
MENA, 2021-05-27, "G7, EU to donate 150 million vaccine doses to COVAX program", "https://www.laprensalatina.com/unicef-to-ask-g7-eu-to-donate-150-million-vaccine-doses-to-covax-program/"
MENA, 2021-05-28, "Sputnik V vaccine agreement as COVAX appeals for 1B dose", "https://www.devex.com/news/unicef-signs-sputnik-v-vaccine-agreement-as-covax-appeals-for-1b-doses-100021"
MENA, 2021-05-26, "Scandalous vaccine inequality where rich nations control fate of the world", "https://www.salon.com/2021/05/26/who-chief-decries-scandalous-vaccine-inequality-where-rich-nations-control-fate-of-the-world_partner/"
MENA, 2021-05-28, "WHO says Covid origin investigation is being poisoned by politics", "https://www.cnbc.com/2021/05/28/who-says-covid-origin-investigation-is-being-poisoned-by-politics.html"
